name,lat,long,land_use_id,business_type_id
Blessed Cafe,0.5324149,35.2439864,4,14
64 Mulembe,0.5349561,35.2456614,4,7
Destination Pub,0.5361342,35.2469797,4,11
Mutah's Bar,0.5345002,35.243293,4,7
White Sand Pub,0.5328936,35.2437826,4,11
The Blue Pub,0.5328467,35.2439529,4,11
The Great Junior Pub,0.5322284,35.244846,4,11
Cool Joint Pub,0.5322794,35.2448085,4,11
Orna's Pub,0.5322526,35.2448219,4,11
Buffalo Keg Joint,0.544491,35.2456105,4,12
Deep West Pub,0.5461807,35.2457875,4,11
Pilot Lodge and Bar,0.534122,35.2431428,4,7
Mutah's Bar,0.5345002,35.243293,4,7
Kiratina bar& Restaurant,0.5337611,35.2452112,4,8
Kitengela Bar,0.5493257,35.2455266,4,7
